region,status_demandgen,couples_reached
ARMM,Couples Reached,20977
ARMM,Couples with Unmet Need,3837
ARMM,Couples with Unmet Need Served,4963
CALABARZON,Couples Reached,72637
CALABARZON,Couples with Unmet Need,10476
CALABARZON,Couples with Unmet Need Served,740
CAR,Couples Reached,48451
CAR,Couples with Unmet Need,3715
CAR,Couples with Unmet Need Served,3033
CARAGA,Couples Reached,46129
CARAGA,Couples with Unmet Need,5670
CARAGA,Couples with Unmet Need Served,5484
MIMAROPA,Couples Reached,54351
MIMAROPA,Couples with Unmet Need,6218
MIMAROPA,Couples with Unmet Need Served,1914
NCR,Couples Reached,64337
NCR,Couples with Unmet Need,17212
NCR,Couples with Unmet Need Served,12598
REGION 1,Couples Reached,60123
REGION 1,Couples with Unmet Need,6889
REGION 1,Couples with Unmet Need Served,4128
REGION 10,Couples Reached,63149
REGION 10,Couples with Unmet Need,10300
REGION 10,Couples with Unmet Need Served,3698
REGION 11,Couples Reached,425396
REGION 11,Couples with Unmet Need,48904
REGION 11,Couples with Unmet Need Served,8590
REGION 12,Couples Reached,40993
REGION 12,Couples with Unmet Need,7182
REGION 12,Couples with Unmet Need Served,5883
REGION 2,Couples Reached,31790
REGION 2,Couples with Unmet Need,916
REGION 2,Couples with Unmet Need Served,9652
REGION 3,Couples Reached,47421
REGION 3,Couples with Unmet Need,1616
REGION 3,Couples with Unmet Need Served,11280
REGION 5,Couples Reached,65496
REGION 5,Couples with Unmet Need,10247
REGION 5,Couples with Unmet Need Served,3782
REGION 6,Couples Reached,74943
REGION 6,Couples with Unmet Need,8498
REGION 6,Couples with Unmet Need Served,22120
REGION 7,Couples Reached,64645
REGION 7,Couples with Unmet Need,4099
REGION 7,Couples with Unmet Need Served,8516
REGION 8,Couples Reached,62480
REGION 8,Couples with Unmet Need,5344
REGION 8,Couples with Unmet Need Served,2635
REGION 9,Couples Reached,62344
REGION 9,Couples with Unmet Need,4259
REGION 9,Couples with Unmet Need Served,4674
